phrase,label
FLASH SALE | LIMITED TIME ONLY Shop Now,dark_pattern
Pillowcases & Shams,recommendation
Write a review,recommendation
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",recommendation
 newsletter signup (privacy policy) ,recommendation
In demand,dark_pattern
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",recommendation
Hurry! Only 2 left in stock,dark_pattern
In Stock only 3 left,dark_pattern
International Shipping Policy,recommendation
"Clothes, Shoes & Accessories",recommendation
Hurry! Only 2 left,dark_pattern
Primary Arms Scopes,recommendation
ONLY 8 LEFT,dark_pattern
MoTrail,recommendation
LCD Ribbon Cables,recommendation
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,recommendation
OUR BEST SELLING GOGGLE,dark_pattern
"1,142 people have added to cart recently",dark_pattern
Limited Availability,dark_pattern
No thanks. I don't like free things...,dark_pattern
 read you will want to read -- Five Book Group Favourites * Sunday Post *,recommendation
 Supply & Demand ,recommendation
"Michael in Pontiac, United States purchased a  ",dark_pattern
Bathroom Lighting,recommendation
 Shop Optics > ,recommendation
9 people are viewing this.,dark_pattern
"894 Claimed! Hurry, only a few left!",dark_pattern
77 PEOPLE LIKE THIS,dark_pattern
Girls Trousers,recommendation
Specs,recommendation
4 items left,dark_pattern
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,dark_pattern
Offer ends in,dark_pattern
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",dark_pattern
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,dark_pattern
More Info,recommendation
Daystate FAC Air Rifles,recommendation
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",recommendation
24 sold in last 24 hours.,dark_pattern
 #CERTIFIED_FACE_MASKS ,recommendation
Shop the Look,recommendation
Kicks Remotes,recommendation
Only 7 left in stock.,dark_pattern
Whey Protein Isolate,recommendation
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,recommendation
Product Info,recommendation
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,dark_pattern
 Sign In With Google ,recommendation
Shop All,recommendation
 You can change your preference here Shop for Select an age ,recommendation
1 in Stock,dark_pattern
 shop all ,recommendation
Low Stock Alert: Only 8 left in inventory,dark_pattern
Womens Platform Shoes,recommendation
Screen print graphics,recommendation
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",dark_pattern
Thin and tough - protects from minor scratches,recommendation
Kimberly R.,recommendation
I don't feel lucky,dark_pattern
Only 3 items left,dark_pattern
 Butterscotch Cakes ,recommendation
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",dark_pattern
Awntech New Yorker Window/Entry Slope Awnin ...,recommendation
45 ADDED TO BAG IN THE PAST 24 HOURS,dark_pattern
87% offers claimed. Hurry up!,dark_pattern
HURRY! £32.99 UK DELIVERY ENDS SOON,dark_pattern
ONLY 3 LEFT,dark_pattern
8 items left,dark_pattern
19 people viewed this product per day,dark_pattern
 Irwin ,recommendation
96 ITEM(S) LEFT IN STOCK!,dark_pattern
__________,recommendation
Only 1 left In Stock,dark_pattern
Availability: Only 4 Left!,dark_pattern
 Personalised Gifts ,recommendation
A customer service specialist will contact you soon.,recommendation
Your order is reserved for 09:54 minutes!,dark_pattern
 Screws & Other Fixings ,recommendation
Use the domain shortly after payment,recommendation
Office Supplies & Decor,recommendation
This size has only 1 left in stock,dark_pattern
Arrow,recommendation
Returns an Item,recommendation
HOT PRODUCT Over 250 people are looking at this item.,dark_pattern
I don't want to save money,dark_pattern
HURRY! ONLY 2 LEFT IN STOCK!,dark_pattern
Hair type: Curly,recommendation
DEAL ENDS IN 40:55:13,dark_pattern
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,dark_pattern
Only 1 Left,dark_pattern
Search for similiar products,recommendation
Only 33 left,dark_pattern
FAMILY SHADE PACK | PICK YOUR PACK,recommendation
Promaster City Remotes,recommendation
"Hurry, only a few left!",dark_pattern
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,recommendation
Only 11 left!,dark_pattern
Hurry! Only 6 left in stock,dark_pattern
40 users are currently active on our website just now.,dark_pattern
Hair Tools,recommendation
Email Address*,recommendation
 Send Us Your Jersey ,recommendation
 View All Home Office Furniture ,recommendation
Search Result:Search Results: ,recommendation
90% offers claimed. Hurry up!,dark_pattern
Tube Tops,recommendation
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",dark_pattern
Hair type: Wavy,recommendation
7 people looked at this product in the last 24 hours.,dark_pattern
Glow Gear,recommendation
18 In Stock,dark_pattern
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,dark_pattern
00:15:07:45,dark_pattern
"No, I'll rather pay full price.",dark_pattern
Only 9 Left.,dark_pattern
Deals of the Week,recommendation
" ... It covers love and loss, friendship and pain through ",recommendation
1 person is viewing this,dark_pattern
Your order is reserved for 09:14 minutes! ,dark_pattern
" Gift TypeFlowers, Cakes, Plants, etc. ",recommendation
 CAMILLA World ,recommendation
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,recommendation
Fun Treat Tossing,recommendation
Limited time remaining!,dark_pattern
"No thanks, I'll pay full price",dark_pattern
Your shopping bag is empty...,recommendation
Trousers & Chinos,recommendation
Only 7 left in stock!,dark_pattern
Only 5 item(s) left.,dark_pattern
 Chargers ,recommendation
(only 5 left),dark_pattern
 Eyelashes ,recommendation
Pick the price that matches your budget. ,recommendation
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",recommendation
Child Safety,recommendation
 Cosmic Rainbow ,recommendation
NRA Annual Meetings & Exhibits,recommendation
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,recommendation
 Moonstone Beads ,recommendation
I'll Shop Without A Discount,dark_pattern
Only 11 Left In Stock,dark_pattern
 Netherlands Antilles USD,recommendation
Was this product description useful?YesNo,recommendation
Returns Information,recommendation
TiesToys & GamesTravelWatches,recommendation
Bought by 39 people in last few hours! HOT SELLER!,dark_pattern
Books and Stationery,recommendation
Your order is reserved for 08:48 minutes!,dark_pattern
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,dark_pattern
 Bioactive Custodians ,recommendation
 Most-Hearted Styles Shop Now ,recommendation
 Use a clean vase and clean water.,recommendation
" well, this is awkward. ",recommendation
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,recommendation
 All Licensed ,recommendation
Nursing chairs,recommendation
Only 1 Item(s) left,dark_pattern
Discount pending $10 OFF 00:30:00,dark_pattern
Juniors' Shoes,recommendation
Limited Time: $10 Off! Discount Reflected In Price!,dark_pattern
Switchers,recommendation
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,recommendation
Ribbons,recommendation
